ID_Linha,ID_Pedido,Data_Pedido,Data_Envio,Modo_Envio,ID_Cliente,Nome_Cliente,Segmento,Pais,Cidade,Estado,Cep,Regiao,ID_Produto,Categoria,SubCategoria,Nome_Produto,Preco_Dolar,Preco,Quantidade,Desconto,Lucro,"4,97"
11,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,Brosina Hoffman,Consumidor,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Mobiliário,Tables,Chromcraft Rectangular Conference Tables,"1706,184","8479,73448",9,"0,2","85,3092",
12,CA-2014-115812,09/06/2014,14/06/2014,Standard Class,BH-11710,Brosina Hoffman,Consumidor,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Tecnologia ,Phones,Konftel 250 Conference phone - Charcoal black,"911,424","4529,77728",4,"0,2","68,3568",
13,CA-2017-114412,15/04/2017,20/04/2017,Standard Class,AA-10480,Andrew Allen,Consumidor,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Material de escritório,Paper,Xerox 1967,"15,552","77,29344",3,"0,2","5,4432",
14,CA-2016-161389,05/12/2016,10/12/2016,Standard Class,IM-15070,Irene Maddox,Consumidor,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Material de escritório,Binders,Fellowes PB200 Plastic Comb Binding Machine,"407,976","2027,64072",3,"0,2","132,5922",
15,US-2015-118983,22/11/2015,26/11/2015,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Material de escritório,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter","68,81","341,9857",5,"0,8","-123,858",
16,US-2015-118983,22/11/2015,26/11/2015,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Material de escritório,Binders,Storex DuraTech Recycled Plastic Frosted Binders,"2,544","12,64368",3,"0,8","-3,816",
17,CA-2014-105893,11/11/2014,18/11/2014,Standard Class,PK-19075,Pete Kriz,Consumidor,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Material de escritório,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D","665,88","3309,4236",6,0,"13,3176",
18,CA-2014-167164,13/05/2014,15/05/2014,Second Class,AG-10270,Alejandro Grove,Consumidor,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Material de escritório,Storage,Fellowes Super Stor/Drawer,"55,5","275,835",2,0,"9,99",
19,CA-2014-143336,27/08/2014,01/09/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumidor,United States,San Francisco,California,94109,West,OFF-AR-10003056,Material de escritório,Art,Newell 341,"8,56","42,5432",2,0,"2,4824",
20,CA-2014-143336,27/08/2014,01/09/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumidor,United States,San Francisco,California,94109,West,TEC-PH-10001949,Tecnologia ,Phones,Cisco SPA 501G IP Phone,"213,48","1060,9956",3,"0,2","16,011",
21,CA-2014-143336,27/08/2014,01/09/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumidor,United States,San Francisco,California,94109,West,OFF-BI-10002215,Material de escritório,Binders,"Wilson Jones Hanging View Binder, White, 1""","22,72","112,9184",4,"0,2","7,384",
22,CA-2016-137330,09/12/2016,13/12/2016,Standard Class,KB-16585,Ken Black,Corporativo ,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Material de escritório,Art,Newell 318,"19,46","96,7162",7,0,"5,0596",
23,CA-2016-137330,09/12/2016,13/12/2016,Standard Class,KB-16585,Ken Black,Corporativo ,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Material de escritório,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length","60,34","299,8898",7,0,"15,6884",
24,US-2017-156909,16/07/2017,18/07/2017,Second Class,SF-20065,Sandra Flanagan,Consumidor,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Mobiliário,Chairs,"Global Deluxe Stacking Chair, Gray","71,372","354,71884",2,"0,3","-1,0196",
25,CA-2015-106320,25/09/2015,30/09/2015,Standard Class,EB-13870,Emily Burns,Consumidor,United States,Orem,Utah,84057,West,FUR-TA-10000577,Mobiliário,Tables,Bretford CR4500 Series Slim Rectangular Table,"1044,63","5191,8111",3,0,"240,2649",
26,CA-2016-121755,16/01/2016,20/01/2016,Second Class,EH-13945,Eric Hoffmann,Consumidor,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Material de escritório,Binders,Wilson Jones Active Use Binders,"11,648","57,89056",2,"0,2","4,2224",
27,CA-2016-121755,16/01/2016,20/01/2016,Second Class,EH-13945,Eric Hoffmann,Consumidor,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Tecnologia ,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,"90,57","450,1329",3,0,"11,7741",
28,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,Tracy Blumstein,Consumidor,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Mobiliário,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","3083,43","15324,6471",7,"0,5","-1665,0522",
29,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,Tracy Blumstein,Consumidor,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Material de escritório,Binders,Avery Recycled Flexi-View Covers for Binding Systems,"9,618","47,80146",2,"0,7","-7,0532",
30,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,Tracy Blumstein,Consumidor,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Mobiliário,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock","124,2","617,274",3,"0,2","15,525",
31,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,Tracy Blumstein,Consumidor,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Material de escritório,Envelopes,Poly String Tie Envelopes,"3,264","16,22208",2,"0,2","1,1016",
32,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,Tracy Blumstein,Consumidor,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Material de escritório,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain","86,304","428,93088",6,"0,2","9,7092",
33,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,Tracy Blumstein,Consumidor,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Material de escritório,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red","6,858","34,08426",6,"0,7","-5,715",
34,US-2015-150630,17/09/2015,21/09/2015,Standard Class,TB-21520,Tracy Blumstein,Consumidor,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Material de escritório,Art,Lumber Crayons,"15,76","78,3272",2,"0,2","3,546",
35,CA-2017-107727,19/10/2017,23/10/2017,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Material de escritório,Paper,Easy-staple paper,"29,472","146,47584",3,"0,2","9,9468",
36,CA-2016-117590,08/12/2016,10/12/2016,First Class,GH-14485,Gene Hale,Corporativo ,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Tecnologia ,Phones,GE 30524EE4,"1097,544","5454,79368",7,"0,2","123,4737",
37,CA-2016-117590,08/12/2016,10/12/2016,First Class,GH-14485,Gene Hale,Corporativo ,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Mobiliário,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black","190,92","948,8724",5,"0,6","-147,963",
38,CA-2015-117415,27/12/2015,31/12/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Material de escritório,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes","113,328","563,24016",9,"0,2","35,415",
39,CA-2015-117415,27/12/2015,31/12/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Mobiliário,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors","532,3992","2646,024024",3,"0,32","-46,9764",
40,CA-2015-117415,27/12/2015,31/12/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Mobiliário,Chairs,"Global Fabric Manager's Chair, Dark Gray","212,058","1053,92826",3,"0,3","-15,147",
41,CA-2015-117415,27/12/2015,31/12/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Tecnologia ,Phones,Plantronics HL10 Handset Lifter,"371,168","1844,70496",4,"0,2","41,7564",
42,CA-2017-120999,10/09/2017,15/09/2017,Standard Class,LC-16930,Linda Cazamias,Corporativo ,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Tecnologia ,Phones,Panasonic Kx-TS550,"147,168","731,42496",4,"0,2","16,5564",
43,CA-2016-101343,17/07/2016,22/07/2016,Standard Class,RA-19885,Ruben Ausman,Corporativo ,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Material de escritório,Storage,"Eldon Base for stackable storage shelf, platinum","77,88","387,0636",2,0,"3,894",
44,CA-2017-139619,19/09/2017,23/09/2017,Standard Class,ES-14080,Erin Smith,Corporativo ,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Material de escritório,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers","95,616","475,21152",2,"0,2","9,5616",
45,CA-2016-118255,11/03/2016,13/03/2016,First Class,ON-18715,Odella Nelson,Corporativo ,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Tecnologia ,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack","45,98","228,5206",2,0,"19,7714",
46,CA-2016-118255,11/03/2016,13/03/2016,First Class,ON-18715,Odella Nelson,Corporativo ,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Material de escritório,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,"17,46","86,7762",2,0,"8,2062",
47,CA-2014-146703,20/10/2014,25/10/2014,Second Class,PO-18865,Patrick O'Donnell,Consumidor,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Material de escritório,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black","211,96","1053,4412",4,0,"8,4784",
48,CA-2016-169194,20/06/2016,25/06/2016,Standard Class,LH-16900,Lena Hernandez,Consumidor,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Tecnologia ,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,"223,65",3,0,"4,95",
49,CA-2016-169194,20/06/2016,25/06/2016,Standard Class,LH-16900,Lena Hernandez,Consumidor,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Tecnologia ,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite","21,8","108,346",2,0,"6,104",
50,CA-2015-115742,18/04/2015,22/04/2015,Standard Class,DP-13000,Darren Powers,Consumidor,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Material de escritório,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack","38,22","189,9534",6,0,"17,9634",
51,CA-2015-115742,18/04/2015,22/04/2015,Standard Class,DP-13000,Darren Powers,Consumidor,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Material de escritório,Labels,Avery 485,"75,18","373,6446",6,0,"35,3346",
52,CA-2015-115742,18/04/2015,22/04/2015,Standard Class,DP-13000,Darren Powers,Consumidor,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Mobiliário,Furnishings,Longer-Life Soft White Bulbs,"6,16","30,6152",2,0,"2,9568",
53,CA-2015-115742,18/04/2015,22/04/2015,Standard Class,DP-13000,Darren Powers,Consumidor,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Mobiliário,Chairs,"Global Leather Task Chair, Black","89,99","447,2503",1,0,"17,0981",
54,CA-2016-105816,11/12/2016,17/12/2016,Standard Class,JM-15265,Janet Molinari,Corporativo ,United States,New York City,New York,10024,East,OFF-FA-10000304,Material de escritório,Fasteners,Advantus Push Pins,"15,26","75,8422",7,0,"6,2566",
55,CA-2016-105816,11/12/2016,17/12/2016,Standard Class,JM-15265,Janet Molinari,Corporativo ,United States,New York City,New York,10024,East,TEC-PH-10002447,Tecnologia ,Phones,AT&T CL83451 4-Handset Telephone,"1029,95","5118,8515",5,0,"298,6855",
56,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,Ted Butterfield,Consumidor,United States,Troy,New York,12180,East,OFF-ST-10000604,Material de escritório,Storage,Home/Office Personal File Carts,"208,56","1036,5432",6,0,"52,14",
57,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,Ted Butterfield,Consumidor,United States,Troy,New York,12180,East,OFF-PA-10001569,Material de escritório,Paper,Xerox 232,"32,4","161,028",5,0,"15,552",
58,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,Ted Butterfield,Consumidor,United States,Troy,New York,12180,East,FUR-CH-10003968,Mobiliário,Chairs,Novimex Turbo Task Chair,"319,41","1587,4677",5,"0,1","7,098",
59,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,Ted Butterfield,Consumidor,United States,Troy,New York,12180,East,OFF-PA-10000587,Material de escritório,Paper,"Array Parchment Paper, Assorted Colors","14,56","72,3632",2,0,"6,9888",
60,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,Ted Butterfield,Consumidor,United States,Troy,New York,12180,East,TEC-AC-10002167,Tecnologia ,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,"149,1",2,0,"3,3",
61,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,Ted Butterfield,Consumidor,United States,Troy,New York,12180,East,OFF-BI-10001460,Material de escritório,Binders,Plastic Binding Combs,"48,48","240,9456",4,"0,2","16,362",
62,CA-2016-111682,17/06/2016,18/06/2016,First Class,TB-21055,Ted Butterfield,Consumidor,United States,Troy,New York,12180,East,OFF-AR-10001868,Material de escritório,Art,Prang Dustless Chalk Sticks,"1,68","8,3496",1,0,"0,84",
63,CA-2015-135545,24/11/2015,30/11/2015,Standard Class,KM-16720,Kunst Miller,Consumidor,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Tecnologia ,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack","13,98","69,4806",2,0,"6,1512",
64,CA-2015-135545,24/11/2015,30/11/2015,Standard Class,KM-16720,Kunst Miller,Consumidor,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Material de escritório,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""","25,824","128,34528",6,"0,2","9,3612",
65,CA-2015-135545,24/11/2015,30/11/2015,Standard Class,KM-16720,Kunst Miller,Consumidor,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Material de escritório,Paper,Xerox 1943,"146,73","729,2481",3,0,"68,9631",
66,CA-2015-135545,24/11/2015,30/11/2015,Standard Class,KM-16720,Kunst Miller,Consumidor,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Mobiliário,Furnishings,Luxo Economy Swing Arm Lamp,"79,76","396,4072",4,0,"22,3328",
67,US-2015-164175,30/04/2015,05/05/2015,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Mobiliário,Chairs,"Global Value Mid-Back Manager's Chair, Gray","213,115","1059,18155",5,"0,3","-15,2225",
68,CA-2014-106376,05/12/2014,10/12/2014,Standard Class,BS-11590,Brendan Sweed,Corporativo ,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Material de escritório,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige","1113,024","5531,72928",8,"0,2","111,3024",
69,CA-2014-106376,05/12/2014,10/12/2014,Standard Class,BS-11590,Brendan Sweed,Corporativo ,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Tecnologia ,Phones,netTALK DUO VoIP Telephone Service,"167,968","834,80096",4,"0,2","62,988",
70,CA-2016-119823,04/06/2016,06/06/2016,First Class,KD-16270,Karen Daniels,Consumidor,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Material de escritório,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate","75,88","377,1236",2,0,"35,6636",
71,CA-2016-106075,18/09/2016,23/09/2016,Standard Class,HM-14980,Henry MacAllister,Consumidor,United States,New York City,New York,10009,East,OFF-BI-10004654,Material de escritório,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,"4,616","22,94152",1,"0,2","1,731",
72,CA-2017-114440,14/09/2017,17/09/2017,Second Class,TB-21520,Tracy Blumstein,Consumidor,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Material de escritório,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""","19,05","94,6785",3,0,"8,763",
73,US-2015-134026,26/04/2015,02/05/2015,Standard Class,JE-15745,Joel Eaton,Consumidor,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Mobiliário,Chairs,High-Back Leather Manager's Chair,"831,936","4134,72192",8,"0,2","-114,3912",
74,US-2015-134026,26/04/2015,02/05/2015,Standard Class,JE-15745,Joel Eaton,Consumidor,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,Mobiliário,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""","97,04","482,2888",2,"0,2","1,213",
75,US-2015-134026,26/04/2015,02/05/2015,Standard Class,JE-15745,Joel Eaton,Consumidor,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,Material de escritório,Storage,Safco Industrial Wire Shelving System,"72,784","361,73648",1,"0,2","-18,196",
76,US-2017-118038,09/12/2017,11/12/2017,First Class,KB-16600,Ken Brennan,Corporativo ,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Material de escritório,Binders,Economy Binders,"1,248","6,20256",3,"0,8","-1,9344",
77,US-2017-118038,09/12/2017,11/12/2017,First Class,KB-16600,Ken Brennan,Corporativo ,United States,Houston,Texas,77041,Central,FUR-FU-10000260,Mobiliário,Furnishings,"6"" Cubicle Wall Clock, Black","9,708","48,24876",3,"0,6","-5,8248",
78,US-2017-118038,09/12/2017,11/12/2017,First Class,KB-16600,Ken Brennan,Corporativo ,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Material de escritório,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h","27,24","135,3828",3,"0,2","2,724",
79,US-2014-147606,26/11/2014,01/12/2014,Second Class,JE-15745,Joel Eaton,Consumidor,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Mobiliário,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak","19,3","95,921",5,"0,6","-14,475",
80,CA-2016-127208,12/06/2016,15/06/2016,First Class,SC-20770,Stewart Carmichael,Corporativo ,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Material de escritório,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","208,16","1034,5552",1,0,"56,2032",
81,CA-2016-127208,12/06/2016,15/06/2016,First Class,SC-20770,Stewart Carmichael,Corporativo ,United States,Decatur,Alabama,35601,South,OFF-BI-10002309,Material de escritório,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,"16,74","83,1978",3,0,"8,0352",
82,CA-2014-139451,12/10/2014,16/10/2014,Standard Class,DN-13690,Duane Noonan,Consumidor,United States,San Francisco,California,94122,West,OFF-AR-10002053,Material de escritório,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind","14,9","74,053",5,0,"4,172",
83,CA-2014-139451,12/10/2014,16/10/2014,Standard Class,DN-13690,Duane Noonan,Consumidor,United States,San Francisco,California,94122,West,OFF-ST-10002370,Material de escritório,Storage,"Sortfiler Multipurpose Personal File Organizer, Black","21,39","106,3083",1,0,"6,2031",
84,CA-2015-149734,03/09/2015,08/09/2015,Standard Class,JC-16105,Julie Creighton,Corporativo ,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Material de escritório,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,"200,984","998,89048",7,"0,2","62,8075",
85,US-2017-119662,13/11/2017,16/11/2017,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Material de escritório,Storage,Safco Industrial Wire Shelving,"230,376","1144,96872",3,"0,2","-48,9549",
86,CA-2017-140088,28/05/2017,30/05/2017,Second Class,PO-18865,Patrick O'Donnell,Consumidor,United States,Columbia,South Carolina,29203,South,FUR-CH-10000863,Mobiliário,Chairs,Novimex Swivel Fabric Task Chair,"301,96","1500,7412",2,0,"33,2156",
87,CA-2017-155558,26/10/2017,02/11/2017,Standard Class,PG-18895,Paul Gonzalez,Consumidor,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Tecnologia ,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,"19,99","99,3503",1,0,"6,7966",
88,CA-2017-155558,26/10/2017,02/11/2017,Standard Class,PG-18895,Paul Gonzalez,Consumidor,United States,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Material de escritório,Labels,Avery 511,"6,16","30,6152",2,0,"2,9568",
89,CA-2016-159695,05/04/2016,10/04/2016,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Material de escritório,Storage,Eldon Portable Mobile Manager,"158,368","787,08896",7,"0,2","13,8572",
90,CA-2016-109806,17/09/2016,22/09/2016,Standard Class,JS-15685,Jim Sink,Corporativo ,United States,Los Angeles,California,90036,West,OFF-AR-10004930,Material de escritório,Art,Turquoise Lead Holder with Pocket Clip,"20,1","99,897",3,0,"6,633",
91,CA-2016-109806,17/09/2016,22/09/2016,Standard Class,JS-15685,Jim Sink,Corporativo ,United States,Los Angeles,California,90036,West,TEC-PH-10004093,Tecnologia ,Phones,Panasonic Kx-TS550,"73,584","365,71248",2,"0,2","8,2782",
92,CA-2016-109806,17/09/2016,22/09/2016,Standard Class,JS-15685,Jim Sink,Corporativo ,United States,Los Angeles,California,90036,West,OFF-PA-10000304,Material de escritório,Paper,Xerox 1995,"6,48","32,2056",1,0,"3,1104",
93,CA-2015-149587,31/01/2015,05/02/2015,Second Class,KB-16315,Karl Braun,Consumidor,United States,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,Material de escritório,Paper,Xerox 1999,"12,96","64,4112",2,0,"6,2208",
94,CA-2015-149587,31/01/2015,05/02/2015,Second Class,KB-16315,Karl Braun,Consumidor,United States,Minneapolis,Minnesota,55407,Central,FUR-FU-10003799,Mobiliário,Furnishings,"Seth Thomas 13 1/2"" Wall Clock","53,34","265,0998",3,0,"16,5354",
95,CA-2015-149587,31/01/2015,05/02/2015,Second Class,KB-16315,Karl Braun,Consumidor,United States,Minneapolis,Minnesota,55407,Central,OFF-BI-10002852,Material de escritório,Binders,Ibico Standard Transparent Covers,"32,96","163,8112",2,0,"16,1504",
96,US-2017-109484,06/11/2017,12/11/2017,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West,OFF-BI-10004738,Material de escritório,Binders,Flexible Leather- Look Classic Collection Ring Binder,"5,682","28,23954",1,"0,7","-3,788",
97,CA-2017-161018,09/11/2017,11/11/2017,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009,East,FUR-FU-10000629,Mobiliário,Furnishings,9-3/4 Diameter Round Wall Clock,"96,53","479,7541",7,0,"40,5426",
98,CA-2017-157833,17/06/2017,20/06/2017,First Class,KD-16345,Katherine Ducich,Consumidor,United States,San Francisco,California,94122,West,OFF-BI-10001721,Material de escritório,Binders,Trimflex Flexible Post Binders,"51,312","255,02064",3,"0,2","17,9592",
99,CA-2016-149223,06/09/2016,11/09/2016,Standard Class,ER-13855,Elpida Rittenbach,Corporativo ,United States,Saint Paul,Minnesota,55106,Central,OFF-AP-10000358,Material de escritório,Appliances,Fellowes Basic Home/Office Series Surge Protectors,"77,88","387,0636",6,0,"22,5852",
100,CA-2016-158568,29/08/2016,02/09/2016,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,OFF-PA-10003256,Material de escritório,Paper,Avery Personal Creations Heavyweight Cards,"64,624","321,18128",7,"0,2","22,6184",
